room_id,hour,day_of_week,is_weekend,month,lecture_scheduled,exam_period,is_holiday,timetable_strength,previous_occupancy,outside_temperature,weather_condition,preferred_temperature,manual_override,previous_ac_status,previous_fan_speed,previous_light_status,occupancy,ac_status,fan_speed,light_status,set_temperature
1,17,Friday,true,December,11/3/2022,true,false,9,53,40,Sunny,23,true,Off,Low,On,8,Off,Medium,On,18
2,11,Saturday,true,February,11/3/2022,true,false,8,46,-20,Rainy,23,false,On,Medium,Off,69,Off,Medium,Off,23
3,16,Friday,true,May,5/14/2022,true,true,9,71,13,Rainy,28,true,On,High,Off,91,Off,Medium,Off,20
4,12,Tuesday,true,June,4/17/2022,true,false,3,77,9,Rainy,19,false,On,Medium,On,87,Off,High,On,20
5,0,Friday,false,October,8/25/2022,true,true,8,19,12,Rainy,28,false,On,Medium,On,86,On,Medium,On,30
6,5,Monday,false,August,2/26/2022,false,false,4,2,23,Cloudy,24,false,On,Low,On,82,Off,Low,On,18
7,19,Sunday,false,April,3/11/2022,true,true,2,2,24,Snowy,29,true,On,High,On,19,Off,Medium,Off,21
8,11,Monday,true,March,11/24/2022,false,true,10,35,-11,Rainy,30,true,On,High,Off,57,On,High,On,15
9,7,Wednesday,true,March,9/11/2022,false,true,5,60,17,Sunny,19,false,Off,High,Off,6,Off,High,Off,15
10,5,Tuesday,true,October,6/6/2022,false,true,8,41,17,Rainy,17,true,Off,Medium,On,92,On,Low,Off,29
11,11,Wednesday,true,February,10/10/2022,true,true,1,2,12,Rainy,25,false,On,Low,Off,82,Off,High,Off,20
12,14,Sunday,false,December,7/1/2022,true,true,6,71,11,Cloudy,21,false,Off,High,Off,12,Off,Medium,On,21
13,22,Friday,false,October,12/6/2022,false,false,9,17,-16,Rainy,27,true,Off,Low,Off,22,On,Medium,On,27
14,4,Friday,true,June,8/3/2022,true,true,6,43,26,Rainy,23,true,Off,Low,Off,43,Off,Low,On,30
15,9,Tuesday,true,July,3/14/2022,false,false,9,33,-19,Rainy,15,true,On,High,Off,7,Off,Medium,On,19
16,23,Tuesday,true,February,11/28/2022,true,true,5,85,-5,Snowy,19,false,Off,Medium,On,21,Off,High,Off,22
17,2,Sunday,true,July,11/14/2022,true,false,7,37,11,Rainy,19,false,Off,High,On,14,On,Low,On,16
18,23,Tuesday,false,April,12/24/2022,true,true,3,83,-13,Snowy,26,true,On,Medium,Off,49,On,Medium,On,18
19,15,Monday,false,May,8/8/2022,true,true,8,23,24,Sunny,17,false,Off,High,Off,31,Off,Medium,On,17
20,3,Sunday,true,April,5/28/2022,true,true,10,56,6,Cloudy,17,true,On,Medium,Off,44,On,Medium,On,28
21,4,Saturday,true,October,1/25/2022,true,false,1,41,32,Sunny,22,true,On,High,On,89,On,High,Off,29
22,4,Saturday,true,January,11/19/2022,true,false,7,2,31,Snowy,17,false,Off,Low,On,24,Off,Low,On,30
